Subject,Subtopic,Q_No,Difficulty,Question,Option_A,Option_B,Option_C,Option_D,Answer
Physics,"Errors (absolute, relative, percentage, propagation)",1,Easy,Absolute error is defined as,True value - Measured value,Measured value - True value,|True value - Measured value|,Measured/True value,C
Physics,"Errors (absolute, relative, percentage, propagation)",2,Easy,Relative error is defined as,Absolute error x True value,Absolute error / True value,True value / Absolute error,Absolute error + True value,B
Physics,"Errors (absolute, relative, percentage, propagation)",3,Easy,Percentage error =,Relative error x 10,Relative error x 100,Relative error / 100,Relative error x 1000,B
Physics,"Errors (absolute, relative, percentage, propagation)",4,Easy,The least count of an instrument is,Its maximum reading,Its minimum readable value,Its zero error,Its range,B
Physics,"Errors (absolute, relative, percentage, propagation)",5,Easy,Which type of error is eliminated by taking average of multiple readings?,Systematic error,Random error,Gross error,Instrumental error,B
Physics,"Errors (absolute, relative, percentage, propagation)",6,Easy,Zero error in an instrument is an example of,Random error,Gross error,Systematic error,Percentage error,C
Physics,"Errors (absolute, relative, percentage, propagation)",7,Easy,The error in reading a scale is called,Least count error,Systematic error,Gross error,Random error,A
Physics,"Errors (absolute, relative, percentage, propagation)",8,Easy,"If true value is 10 and measured value is 9.5, absolute error is",0.5,9.5,10,0.05,A
Physics,"Errors (absolute, relative, percentage, propagation)",9,Easy,Relative error has,Units of measurement,Units of the quantity,No units (dimensionless),Units of length,C
Physics,"Errors (absolute, relative, percentage, propagation)",10,Easy,Percentage error is always expressed as,A ratio,A percentage (%),A logarithm,A fraction,B
Physics,"Errors (absolute, relative, percentage, propagation)",11,Easy,Gross errors are caused by,Instrument imperfection,Environmental changes,Human mistakes,Random fluctuations,C
Physics,"Errors (absolute, relative, percentage, propagation)",12,Easy,The mean of all absolute errors is called,Mean error,Relative error,Standard deviation,Percentage error,A
Physics,"Errors (absolute, relative, percentage, propagation)",13,Easy,"If measured value = 50 and true value = 50, absolute error is",0,1,50,100,A
Physics,"Errors (absolute, relative, percentage, propagation)",14,Easy,Least count error is a type of,Random error,Systematic error,Gross error,Personal error,B
Physics,"Errors (absolute, relative, percentage, propagation)",15,Easy,Systematic errors can be,Eliminated completely by calibration,Not eliminated,Reduced by averaging,All of the above,A
Physics,"Errors (absolute, relative, percentage, propagation)",16,Easy,The error that occurs due to external conditions like temperature is called,Personal error,Random error,Environmental error,Least count error,C
Physics,"Errors (absolute, relative, percentage, propagation)",17,Easy,"If percentage error = 2%, then relative error =",0.02,0.2,2,20,A
Physics,"Errors (absolute, relative, percentage, propagation)",18,Easy,"For a quantity Z = A + B, the absolute error ΔZ is",ΔA x ΔB,ΔA + ΔB,ΔA - ΔB,ΔA / ΔB,B
